id,author,author_type,location,deal_type,accommodation_type,floor,floors_count,rooms_count,total_meters,district,street,underground,residential_complex,price
192,NIKA ESTATE,real_estate_agent,Москва,sale,flat,3,5,5,250.0,Хамовники, Пречистенка,Парк Культуры,,250.0
193,ID 112819123,developer,Москва,sale,flat,-1,-1,-1,202.0,Щукино,проезд 4-й Красногорский,Стрешнево,Moments,37.04336
194,Whitewill,real_estate_agent,Москва,sale,flat,20,41,4,164.0,Хорошевский,Ленинградский проспект,Аэропорт,Прайм Парк,116.0
195,Главстрой,developer,Москва,sale,flat,2,16,1,44.7,Филевский парк,Береговой проезд,Народное Ополчение,Береговой-2,20.66101
196,Sminex,developer,Москва,sale,flat,6,28,3,88.97,Марфино, Академика Королева,Бутырская,Дом Достижение,42.99
197,Monumental Group,real_estate_agent,Москва,sale,flat,10,10,4,135.0,Пресненский,Спиридоньевский переулок,Пушкинская,,124.9
198,ID 104795526,official_representative,Москва,sale,flat,2,9,2,58.0,Хамовники,Комсомольский проспект,Фрунзенская,,30.048
199,Whitewill,real_estate_agent,Москва,sale,flat,25,42,4,145.0,Раменки,Мосфильмовская ,Ломоносовский проспект,Воробьевы Горы,90.662599
200,BEYOND. ex-Engel  Volkers,real_estate_agent,Санкт-Петербург,sale,flat,4,6,3,127.6,Петроградский,Петровский проспект,Спортивная,"Элитный комплекс ""ROYAL PARK""",67.0
201,ID 78680167,unknown,Москва,sale,flat,13,17,2,58.0,Бабушкинский, Менжинского,Бабушкинская,,22.9
202,ID 86900871,realtor,Москва,sale,flat,2,3,1,46.3,Басманный, Маросейка,Китай-город,,55.0
203,Apple Real Estate,real_estate_agent,Москва,sale,flat,10,11,3,126.9,Басманный, Казакова,Курская,KAZAKOV Grand Loft,94.3
204,ID 100603534,unknown,Москва,sale,flat,3,11,1,34.5,Солнцево, Юлиана Семенова,Солнцево,Лучи,14.5
205,GloraX,developer,Санкт-Петербург,sale,flat,13,14,1,25.85,Красногвардейский,проспект Энергетиков,,GloraX Заневский,9.939999
206,Киноцентр,developer,Москва,sale,flat,12,20,3,112.0,Пресненский,Дружинниковская ,Краснопресненская,SkyView,102.502064
207,Эльмира Эмирова,realtor,Москва,sale,flat,49,63,2,73.0,Пресненский,1-й Красногвардейский проезд,Деловой центр,NEVA TOWERS,70.0
208,Whitewill,real_estate_agent,Москва,sale,flat,2,21,3,115.0,Пресненский,2-я Звенигородская ,Улица 1905 года,Lucky,110.0
209,MHEstate - Элитная недвижимость,real_estate_agent,Москва,sale,flat,63,68,3,101.9,Пресненский,1-й Красногвардейский проезд,Международная,NEVA TOWERS,81.0
210,ALVO Group,real_estate_agent,Москва,sale,flat,3,20,2,64.0,Беговой,Бумажный проезд,Белорусская,Клубный дом SOHO+NOHO,38.0
211,Донстрой,developer,Москва,sale,flat,4,12,2,87.6,Раменки, Сергея Бондарчука,Мичуринский проспект,Река,81.23644
212,Kalinka Group,real_estate_agent,Москва,sale,flat,10,19,-1,208.0,Хорошево-Мневники,проспект Маршала Жукова,Зорге,,73.0
213,Kalinka Group,real_estate_agent,Москва,sale,flat,3,13,2,69.23,Раменки,проспект Генерала Дорохова,Минская,Собрание клубных домов West Garden,55.0
214,Intermark Real Estate,real_estate_agent,Москва,sale,flat,4,5,4,176.7,Хамовники,Курсовой переулок,Кропоткинская,,169.0
215,Kalinka Group,real_estate_agent,Москва,sale,flat,15,15,5,215.0,Хамовники,Саввинская набережная,Киевская,,267.454669
216,BARNES International Realty,real_estate_agent,Москва,sale,flat,8,9,5,257.1,Хамовники,Саввинская набережная,Спортивная,SAVVIN RIVER RESIDENCE,380.0
217,Престиж,real_estate_agent,Санкт-Петербург,sale,flat,3,6,3,120.0,Петроградский,проспект Малый Петроградской стороны,Петроградская,,56.0
218,MR Group,developer,Москва,sale,flat,52,55,2,84.92,Марьина роща, 4-я Марьиной рощи,Рижская,Mod,42.910076
219,БСА,representative_developer,Москва,sale,flat,11,41,3,88.09,Пресненский,Шелепихинское шоссе,,Headliner,36.85162
220,SHOW ME,real_estate_agent,Москва,sale,flat,80,85,4,294.6,Пресненский,Московский международный деловой центр Москва-Сити тер.,Деловой центр,,480.511779
221,Петербургская Недвижимость,real_estate_agent,Санкт-Петербург,sale,flat,3,5,1,34.42,Московский, Струве,Московская,Зеленый квартал,7.0
222,Whitewill,real_estate_agent,Москва,sale,flat,3,9,3,130.0,Хамовники,Саввинская набережная,Киевская,SAVVIN RIVER RESIDENCE,175.0
223,Verges of estate,real_estate_agent,Москва,sale,flat,4,14,4,133.0,Раменки,проспект Генерала Дорохова,Минская,Собрание клубных домов West Garden,85.0
224,Delight  Realty,real_estate_agent,Москва,sale,flat,5,5,3,72.5,Пресненский,Средний Тишинский переулок,Маяковская,,33.0
225,ДОНСТРОЙ,developer,Москва,sale,flat,2,49,2,67.2,Раменки,Кинематографический кв-л,Мичуринский проспект,Событие ЖК,29.64192
226,Петербургская Строительная Компания,developer,Санкт-Петербург,sale,flat,3,7,2,59.2,Петроградский,набережная Реки Карповки,Петроградская,Северная Корона,23.68
227,Унистрой,developer,Санкт-Петербург,sale,flat,2,5,2,47.19,Курортный,,Беговая,Лисино,10.339
228,А101,developer,Москва,sale,flat,5,14,4,64.6,,,Бунинская аллея,Дзен-кварталы ЖК,14.224899
229,Intermark Real Estate,real_estate_agent,Москва,sale,flat,4,6,5,213.9,Арбат,переулок Романов,Библиотека им. Ленина,,335.451619
230,Гранит Инвест,real_estate_agent,Санкт-Петербург,sale,flat,12,14,2,57.8,Василеостровский,набережная Реки Смоленки,Приморская,Айно,17.051
231,ID 110494590,homeowner,Санкт-Петербург,sale,flat,3,5,3,55.0,Приморский,Школьная ,Старая Деревня,,12.9
232,ЛСР Санкт-Петербург,developer,Санкт-Петербург,sale,flat,1,8,1,42.75,Петроградский,Петровский,Чкаловская,Нева Резиденс ЖК,14.6376
233,ТВОЁ ПРОСТРАНСТВО,real_estate_agent,Санкт-Петербург,sale,flat,14,17,2,75.1,Василеостровский, Нахимова,Приморская,,17.5
234,LEGENDA Intelligent Development,developer,Санкт-Петербург,sale,flat,7,9,1,39.59,Красногвардейский, Стахановцев,Новочеркасская,"Малоохтинский, 68",16.988069
235,Петербургская Недвижимость,representative_developer,Санкт-Петербург,sale,flat,3,5,2,53.0,Московский,Пулковский меридиан,Звездная,Парадный ансамбль,9.800177
236,ID 101178389,homeowner,Санкт-Петербург,sale,flat,23,23,2,51.3,Невский, Славянская,Рыбацкое,Живи! в Рыбацком,11.4
237,NF GROUP  St Petersburg,real_estate_agent,Санкт-Петербург,sale,flat,7,7,5,363.0,Петроградский,Динамовская ,Крестовский остров,,350.0
238,ID 103843695,homeowner,Москва,sale,flat,4,9,2,45.0,Строгино, Маршала Катукова,Строгино,,16.2
239,Петербургская Строительная Компания,developer,Санкт-Петербург,sale,flat,2,7,3,101.4,Петроградский,набережная Реки Карповки,Петроградская,Северная Корона,34.476
240,Терминал-Ресурс,developer,Санкт-Петербург,sale,flat,3,4,1,26.22,Пушкинский, Образцовая,Купчино,Образцовый квартал 13,5.33201
241,NF GROUP  St Petersburg,real_estate_agent,Санкт-Петербург,sale,flat,6,8,2,110.2,Василеостровский,17-я Васильевского острова линия,Василеостровская,,26.0
242,ID 416302,realtor,Москва,sale,flat,3,15,2,58.54,Пресненский,Лаки жилой квартал,Улица 1905 года,Lucky,63.9
